date|time|description|vendor|amount 
2023-04-15|10:13:25|ergonomic keyboard|Amazon|-89.50
2023-04-15|11:15:00|Invoice 1001 paid|Joe|1500.00
2023-10-01|08:45:00|Marketing campaign|Facebook|-250.00
2023-10-04|11:00:00|Office coffee supplies|Local Cafe|-35.00
2023-10-06|14:15:00|Freelance design work|Alice Smith|400.00
2023-10-08|13:30:00|Domain renewal|GoDaddy|-15.99
2023-10-09|10:00:00|Web hosting|HostGator|-99.99
2023-10-11|17:45:00|Consultation fee|Jane Doe|350.00
2023-10-12|12:00:00|Subscription service|Netflix|-14.99
2024-01-05|10:00|Office Supplies|Staples|150.75
2024-01-12|14:30|Website Hosting|GoDaddy|120.00
2024-02-20|09:15|Consulting Services|ABC Consulting|500.00
2024-03-03|11:45|Software License|Microsoft|250.00
2024-04-15|08:00|Marketing Materials|Vistaprint|75.50
2024-06-30|15:10|Travel Expenses|Delta Airlines|-450.00
2024-07-07|09:30|Training Seminar|Eventbrite|-300.00
2024-08-18|12:00|Office Furniture|IKEA|-850.00
2024-09-25|16:40|Subscription Fee|Adobe|-59.99
2024-10-12|12:22:20|Invoice 3000|YU|200.00
2024-10-20|12:20:20|Invoice 3002|YU|300.00
2024-10-17|12:20:20|invoice 1007|YU|250.00
